floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality,dist_to_center_km,dist_to_metro_km,parks_1km,groceries_top_1km,schools_1km,pharmacies_top_1km,clinics_1km
1,2,0,15.0,28000,Молжаниновский,Синявинская ,26,Подрезково,55.9501557,37.3467115,1,27.768025479566507,1.2034427932462206,0,0,2,0,3
3,5,1,35.0,30000,Южное Бутово, Типографская,14,Щербинка,55.5079978,37.5842633,1,27.214451946122967,1.414441055299397,0,1,1,0,0
8,41,3,84.1,30000,Коньково, Академика Волгина,2К1,Университет дружбы народов,55.6476021,37.5125855,0,13.342974491993395,0.3234478404735451,0,2,0,1,6
6,24,1,23.7,20000,Покровское-Стрешнево, Николая Озерова,8к1,Спартак,55.8151646,37.4295902,1,13.68733204136196,0.486567062506285,3,3,1,1,1
7,24,1,20.9,30000,Солнцево,Производственная ,17,Солнцево,55.6434402,37.3820192,1,19.066359439287904,0.840753450052415,1,3,1,2,0
2,9,1,44.1,30000,Внуковское, Бориса Пастернака,4,Мичуринец,55.6371996,37.3141923,1,22.89816888063685,0.992198002587951,0,3,1,1,0
4,41,3,70.0,20000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,55.764544,37.5111189,1,6.800020593861361,1.222603091237295,1,2,1,1,0
15,24,1,22.0,20000,Покровское-Стрешнево, Николая Озерова,8к1,Спартак,55.8151646,37.4295902,1,13.68733204136196,0.486567062506285,3,3,1,1,1
12,25,3,80.0,20000,Покровское-Стрешнево,Волоколамское шоссе,81/2с1,Трикотажная,55.8249888,37.4125157,1,15.167796044161165,1.2397233583633598,0,0,0,0,0
11,19,0,40.0,25000,Сосенское, Лазурная,14,Новомосковская,55.5666586,37.4715198,1,22.553996915984143,0.7378528505559597,2,3,1,0,5
8,20,0,57.0,30000,Бирюлево Восточное,6-я Радиальная ,7/1к1,Царицыно,55.6078868,37.6648622,1,16.29995860214129,1.18559340408116,0,3,0,0,3
1,17,0,90.0,21000,Ново-Переделкино,Боровское шоссе,39,Новопеределкино,55.6401324,37.3576521,1,20.492963929178984,1.476141078740427,3,8,4,1,2
5,15,1,37.3,38000,Щербинка, Барышевская Роща,12,Щербинка,55.5036662,37.5398515,1,28.04290459694326,1.5493062510228262,3,3,0,1,1
11,14,1,17.9,34800,Сосенское,проспект Куприна,30к9,Потапово,55.543521,37.4602928,1,25.195442737063946,2.1751162274142324,0,0,1,0,0
1,14,1,37.0,35000,Марьино, Верхние Поля,38К1,Люблино,55.6666602,37.7720115,1,13.556969985477496,1.282052873418103,0,3,4,0,2
2,19,1,19.6,37000,Митино,Муравская ,38Бк3,Пятницкое шоссе,55.8608767,37.3636549,0,19.953321477556667,1.0401177670777215,0,1,1,0,0
10,16,1,34.7,39000,Вешняки, Красный Казанец,5,Вешняки,55.7217291,37.8081338,1,12.400425572992477,0.562065013140414,1,5,5,1,1
11,16,1,45.0,37000,Текстильщики, 8-я Текстильщиков,12К2,Текстильщики,55.7026216,37.7443398,1,9.656990215098627,1.077893008477537,3,11,5,0,1
2,14,1,22.0,36800,Филимонковское, Усадебный Парк,7к1,Филатов луг,55.5709856,37.2823747,1,29.10447849566376,8.486992908521316,0,3,1,0,0
