floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality
3,5,1,32.0,38000,Выхино-Жулебино, Вострухина,4к1,Рязанский проспект,55.7183035,37.7983865,1
7,9,1,36.0,36000,Гольяново,Уральская ,4,Щёлковская,55.811724,37.8002735,1
11,24,1,45.0,40000,Ховрино,Клинская ,16к1,Грачёвская,55.870002,37.4936847,1
10,12,1,32.0,35000,Чертаново Южное,Кировоградская ,44К2,Улица Академика Янгеля,55.5968503,37.5937691,1
4,4,1,18.0,40000,Донской,Новоданиловский проезд,4,Тульская,55.7014819,37.6254144,0
4,9,1,22.0,35000,Богородское,Краснобогатырская ,75К1,Преображенская площадь,55.8079265,37.7065979,1
4,9,1,32.2,35000,Вешняки,аллея Жемчуговой,1К2,Новогиреево,55.7340259,37.8176563,1
6,16,1,35.0,40000,Щербинка, Барышевская Роща,26,Щербинка,55.504607,37.5341806,1
6,12,1,38.0,35000,Северное Бутово, Знаменские Садки,9К1,Бульвар Дмитрия Донского,55.5725366,37.5676709,1
1,12,1,27.8,31000,Десёновское, 3-я Нововатутинская,2,Ольховая,55.5172809,37.3417542,1
14,17,1,38.0,40000,Кунцево,Кунцевская ,2,Рабочий посёлок,55.7298663,37.4195598,1
7,9,1,32.0,39000,Старое Крюково,Зеленоград,к903,Зеленоград — Крюково,55.9821364,37.1896284,1
4,5,1,23.0,35000,Гольяново,Щелковское шоссе,49,Щёлковская,55.8107493,37.7886199,1
1,16,1,34.0,36000,Ховрино,Зеленоградская ,33К1,Ховрино,55.8759953,37.4912222,1
2,17,1,37.0,35000,Северное Бутово,Куликовская ,3,Бульвар Дмитрия Донского,55.5710976,37.5646845,1
8,22,1,42.0,40000,Силино,Зеленоград,к1015,Зеленоград — Крюково,55.9870624,37.173051,1
15,18,1,17.0,40000,Ломоносовский, Академика Пилюгина,12К1,Новаторская,55.6690557,37.5381781,1
4,22,1,21.8,35000,Сосенское, Бачуринская,13,Коммунарка,55.5766018,37.4816486,1
3,4,-1,13.0,35000,Донской,Новоданиловский проезд,4,Тульская,55.7014819,37.6254144,0
7,13,2,31.0,38000,Рязановское, Уточкина,5к2,Силикатная,55.4744549,37.5252947,1
2,5,1,25.0,32000,Северное Измайлово,9-я Парковая ,66К2,Щёлковская,55.8070752,37.8003327,1
2,3,2,45.0,40000,Краснопахорское, Джонатана Свифта,13,Потапово,55.4346761,37.3236646,1
4,5,1,30.0,38000,Свиблово,проезд Нансена,12К1,Свиблово,55.8521487,37.6510368,1
3,5,1,13.2,35000,Северное Измайлово,9-я Парковая ,66К2,Щёлковская,55.8070752,37.8003327,1
7,8,1,25.0,38000,Сосенское, Василия Ощепкова,4,Новомосковская,55.5538753,37.4654357,1
1,4,-1,16.0,33000,Покровское-Стрешнево,Волоколамское шоссе,116с3,Трикотажная,55.8190744,37.4547251,0
1,16,1,35.0,40000,Бибирево,Мурановская ,15,Алтуфьево,55.894205,37.6012085,1
11,12,1,36.0,36000,Бирюлево Западное,Булатниковский проезд,6к1,Покровское,55.5936117,37.6513869,1
20,24,1,26.0,35000,Сосенское, Бачуринская,9Ак1,Коммунарка,55.5740827,37.485641,0
2,12,1,40.0,38000,Савёлки,Зеленоград,к614,Зеленоград — Крюково,55.9896226,37.2320581,1
