"author","author_type","url","location","deal_type","accommodation_type","floor","floors_count","rooms_count","total_meters","price_per_month","commissions","district","street","house_number","underground","residential_complex"
"ГОРОБМЕН","real_estate_agent","https://www.cian.ru/rent/flat/317764981/","Москва","rent","flat","13","28","1","23","30000","0","Митино","Пятницкое шоссе","56Б","Пятницкое шоссе",""
"Евгений Беляков","realtor","https://www.cian.ru/rent/flat/317763093/","Москва","rent","flat","5","5","1","15.1","30000","0",""," Жемчужная","1к4","Филатов Луг",""
"ID 53466338","homeowner","https://www.cian.ru/rent/flat/317456533/","Москва","rent","flat","7","9","1","34","30000","0","Некрасовка","1-я Вольская ","13К2","Люберцы",""
"ГОРОБМЕН","real_estate_agent","https://www.cian.ru/rent/flat/317882263/","Москва","rent","flat","29","33","1","20","30000","0","Алтуфьевский","Алтуфьевское шоссе","55к5","Бескудниково",""
"Дмитрий Чебатков","realtor","https://www.cian.ru/rent/flat/317885429/","Москва","rent","flat","10","14","1","38","30000","0","Молжаниновский","Ленинградское шоссе","228к3","Молжаниново",""
"ID 103304854","realtor","https://www.cian.ru/rent/flat/317922201/","Москва","rent","flat","3","9","1","25","30000","0","Чертаново Центральное","Днепропетровская ","37К1","Пражская",""
"Наталья Зинченко","realtor","https://www.cian.ru/rent/flat/317942330/","Москва","rent","flat","3","14","1","28","25000","0",""," Мостовая","5к2","Ольховая",""
"Арайик Аветисян","realtor","https://www.cian.ru/rent/flat/316943182/","Москва","rent","flat","3","16","1","25","30000","0",""," Гренадерская","9к1","Ольховая",""
"Любовь Щербакова","realtor","https://www.cian.ru/rent/flat/316686751/","Москва","rent","flat","2","3","1","25","30000","0","Северное Измайлово","Щелковское шоссе","100к1","Щёлковская",""
"Дмитрий Щебетун","realtor","https://www.cian.ru/rent/flat/317880522/","Москва","rent","flat","5","5","1","33","30000","0","Можайский"," Маршала Неделина","12","Рабочий посёлок",""
"Татьяна Левченкова","realtor","https://www.cian.ru/rent/flat/266828288/","Москва","rent","flat","14","14","1","29","30000","0","","шоссе Остафьевское","12к2","Щербинка",""
"Максим Шлык","realtor","https://www.cian.ru/rent/flat/287573403/","Москва","rent","flat","3","3","1","18","15000","0","","","188","Потапово",""
"PARTNER-ESTATE","real_estate_agent","https://www.cian.ru/rent/flat/312436478/","Москва","rent","flat","2","14","1","23.7","30000","0",""," Усадебный Парк","7к1","Филатов Луг",""
"CENTURY 21 Перспектива","real_estate_agent","https://www.cian.ru/rent/flat/317894941/","Москва","rent","flat","8","14","1","28","30000","0","","шоссе Остафьевское","14к3","Щербинка",""
"Екатерина Новикова","realtor","https://www.cian.ru/rent/flat/273617163/","Москва","rent","flat","16","19","1","15","16500","0","Молжаниновский","Синявинская ","11к4","Подрезково",""
"Дина Медведева","realtor","https://www.cian.ru/rent/flat/189126978/","Москва","rent","flat","1","5","1","36","30000","0",""," Текстильщиков","1а","Ольховая",""
