"author","author_type","url","location","deal_type","accommodation_type","floor","floors_count","rooms_count","total_meters","price_per_month","commissions","district","street","house_number","underground","residential_complex"
"ФЕРРУМ ЭСТЕЙТ","real_estate_agent","https://www.cian.ru/rent/flat/315553468/","Москва","rent","flat","28","57","2","107","180000","0","Хорошевский","Чапаевский переулок","3","Сокол",""
"ID 95536615","unknown","https://www.cian.ru/rent/flat/317640572/","Москва","rent","flat","6","12","3","88.5","180000","0","Раменки","Мичуринский проспект","16","Раменки",""
"Hedge Property","real_estate_agent","https://www.cian.ru/rent/flat/310686129/","Москва","rent","flat","4","10","2","81.2","172000","0","Тверской","3-я Тверская-Ямская ","52","Белорусская",""
"Вертикаль","real_estate_agent","https://www.cian.ru/rent/flat/314422232/","Москва","rent","flat","32","55","2","110","180000","0","Хорошевский","Чапаевский переулок","3","Сокол",""
"EMPIRE","real_estate_agent","https://www.cian.ru/rent/flat/317921092/","Москва","rent","flat","3","11","1","60","170000","0","Хамовники","Смоленская-Сенная площадь","23/25","Смоленская",""
"ID 13042055","unknown","https://www.cian.ru/rent/flat/317144645/","Москва","rent","flat","3","15","5","107.4","170000","0","","проспект Магеллана","3","Прокшино",""
"Dream City","real_estate_agent","https://www.cian.ru/rent/flat/313042121/","Москва","rent","flat","10","13","4","114","170000","0","Раменки"," Дружбы","4","Ломоносовский проспект",""
"ID 80976659","homeowner","https://www.cian.ru/rent/flat/317687966/","Москва","rent","flat","4","24","2","62","180000","0","Хорошевский","Хорошевское шоссе","25Ак3","Хорошёвская",""
"Trust Realty","real_estate_agent","https://www.cian.ru/rent/flat/317838108/","Москва","rent","flat","15","17","2","70","170000","0","Лефортово","Золоторожский проезд","3","Серп и Молот",""
"ID 93367670","realtor","https://www.cian.ru/rent/flat/317509108/","Москва","rent","flat","6","22","2","42.2","180000","0","Басманный","площадь Курского Вокзала","1","Чкаловская",""
"Las Vegas","real_estate_agent","https://www.cian.ru/rent/flat/316988144/","Москва","rent","flat","33","42","3","72","180000","0","Филевский парк","Багратионовский проезд","5Ак1","Фили",""
"Unlock","real_estate_agent","https://www.cian.ru/rent/flat/316476219/","Москва","rent","flat","13","24","2","55.5","180000","0","Донской","Новоданиловская набережная","8к2","Верхние котлы",""
"formula estate","real_estate_agent","https://www.cian.ru/rent/flat/316346659/","Москва","rent","flat","22","24","2","55","180000","0","Хорошевский"," Авиаконструктора Сухого","2к1","ЦСКА",""
"ID 7719","realtor","https://www.cian.ru/rent/flat/200671225/","Москва","rent","flat","5","17","4","140","170000","0","Хорошево-Мневники","проспект Маршала Жукова","43К3","Народное Ополчение",""
"ID 81079418","unknown","https://www.cian.ru/rent/flat/315054291/","Москва","rent","flat","9","21","2","63","180000","0","Даниловский","бульвар Братьев Весниных","1","ЗИЛ",""
"Елена Дружинина","realtor","https://www.cian.ru/rent/flat/317725823/","Москва","rent","flat","7","17","4","112","170000","0","Теплый Стан"," Академика Виноградова","3к1","Генерала Тюленева",""
"ID 16863881","homeowner","https://www.cian.ru/rent/flat/276481407/","Москва","rent","flat","8","24","3","106","170000","0","Хорошево-Мневники","Карамышевская набережная","56К1","Мнёвники",""
"ID 17541509","unknown","https://www.cian.ru/rent/flat/316780655/","Москва","rent","flat","6","22","3","64","170000","0","Алексеевский","Маломосковская ","14","Алексеевская",""
"Capital Mars","real_estate_agent","https://www.cian.ru/rent/flat/317621582/","Москва","rent","flat","10","19","3","70","180000","0","Беговой","Ленинградский проспект","29к1","Динамо",""
"ID 50041747","homeowner","https://www.cian.ru/rent/flat/317156306/","Москва","rent","flat","17","18","3","120","170000","0","Кунцево","Партизанская ","35К3","Молодёжная",""
"ID 279521","realtor","https://www.cian.ru/rent/flat/317608699/","Москва","rent","flat","12","21","4","190","170000","0","Черемушки","Новочеремушкинская ","71/32","Зюзино",""
"Vmestate","real_estate_agent","https://www.cian.ru/rent/flat/317623035/","Москва","rent","flat","7","11","2","120","180000","0","Арбат","Смоленская набережная","2А","Смоленская",""
"Las Vegas","real_estate_agent","https://www.cian.ru/rent/flat/317493616/","Москва","rent","flat","3","11","2","60","170000","0","Хамовники","Смоленская-Сенная площадь","23/25","Смоленская",""
